Contract No,Delivery Date,Storage Start Date,Source Workbook,Date normalization
SCN 8088,2026-05-22,2026-05-22,SBM Purchases.xlsx,DD/MM/YYYY; numeric Excel dates normalized from displayed M/D/YY to intended D/M/YY
SCN 8089,2026-05-22,2026-05-22,SBM Purchases.xlsx,DD/MM/YYYY; numeric Excel dates normalized from displayed M/D/YY to intended D/M/YY
SCN 8120,2026-06-04,2026-06-04,SBM Purchases.xlsx,DD/MM/YYYY; numeric Excel dates normalized from displayed M/D/YY to intended D/M/YY
SCN 8119,2026-06-03,2026-06-03,SBM Purchases.xlsx,DD/MM/YYYY; numeric Excel dates normalized from displayed M/D/YY to intended D/M/YY
SCN 8122,2026-06-09,2026-06-09,SBM Purchases.xlsx,DD/MM/YYYY; numeric Excel dates normalized from displayed M/D/YY to intended D/M/YY
SCN 8121,2026-06-07,2026-06-07,SBM Purchases.xlsx,DD/MM/YYYY; numeric Excel dates normalized from displayed M/D/YY to intended D/M/YY
SCN 8195,2026-06-11,2026-06-11,SBM Purchases.xlsx,DD/MM/YYYY; numeric Excel dates normalized from displayed M/D/YY to intended D/M/YY
SCN 8196,2026-06-11,2026-06-11,SBM Purchases.xlsx,DD/MM/YYYY; numeric Excel dates normalized from displayed M/D/YY to intended D/M/YY
SCN 8235,2026-06-17,2026-06-17,SBM Purchases.xlsx,DD/MM/YYYY; numeric Excel dates normalized from displayed M/D/YY to intended D/M/YY
SCN 8236,2026-06-17,2026-06-17,SBM Purchases.xlsx,DD/MM/YYYY; numeric Excel dates normalized from displayed M/D/YY to intended D/M/YY
SCN 8266,2026-06-24,2026-06-24,SBM Purchases.xlsx,DD/MM/YYYY; numeric Excel dates normalized from displayed M/D/YY to intended D/M/YY
SCN 8267,2026-06-24,2026-06-24,SBM Purchases.xlsx,DD/MM/YYYY; numeric Excel dates normalized from displayed M/D/YY to intended D/M/YY
SCN 8286,2026-06-28,2026-06-28,SBM Purchases.xlsx,DD/MM/YYYY; numeric Excel dates normalized from displayed M/D/YY to intended D/M/YY
SCN 8287,2026-06-29,2026-06-29,SBM Purchases.xlsx,DD/MM/YYYY; numeric Excel dates normalized from displayed M/D/YY to intended D/M/YY
SCN 8329,2026-07-04,2026-07-04,SBM Purchases.xlsx,DD/MM/YYYY; numeric Excel dates normalized from displayed M/D/YY to intended D/M/YY
SCN 8330,2026-07-05,2026-07-05,SBM Purchases.xlsx,DD/MM/YYYY; numeric Excel dates normalized from displayed M/D/YY to intended D/M/YY
SCN 8356,2026-07-07,2026-07-07,SBM Purchases.xlsx,DD/MM/YYYY; numeric Excel dates normalized from displayed M/D/YY to intended D/M/YY
SCN 8357,2026-07-07,2026-07-07,SBM Purchases.xlsx,DD/MM/YYYY; numeric Excel dates normalized from displayed M/D/YY to intended D/M/YY
SCN 8390,2026-07-13,2026-07-13,SBM Purchases.xlsx,DD/MM/YYYY; numeric Excel dates normalized from displayed M/D/YY to intended D/M/YY
SCN 8391,2026-07-13,2026-07-13,SBM Purchases.xlsx,DD/MM/YYYY; numeric Excel dates normalized from displayed M/D/YY to intended D/M/YY
SCN 8392,2026-07-13,2026-07-13,SBM Purchases.xlsx,DD/MM/YYYY; numeric Excel dates normalized from displayed M/D/YY to intended D/M/YY
